Date,Shipment,Mode,Product,SI QTY,QTY,Total Packages,Standard Total,Boxes Total,Warp Total,Returnable Total,Ratio Standard,Ratio Boxes,Ratio Warp,Ratio Returnable,110x110x115 QTY,110x110x90 QTY,110x110x65 QTY,80X120X115 QTY,80X120X90 QTY,80X120X65 QTY,42X46X68 QTY,47X66X68 QTY,53X53X58 QTY,57X64X84 QTY,68X74X86 QTY,70X100X90 QTY,27X27X22 QTY,53X53X19 QTY,WARP QTY,UNIT QTY,RETURNABLE QTY,Remark
27-01-2021,FEID,VESSEL,INVERTER,5,135,5,0,5,0,0,0.00,1.67,0.00,0.00,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,
28-01-2021,FEE,VESSEL,INVERTER,1,51,2,0,0,0,2,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Combine Air & Sea
28-01-2021,FEE,AIRCRAFT,INVERTER,1,20,1,1,0,0,0,1.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Combine Air & Sea
28-01-2021,FEI,AIRCRAFT,INVERTER,24,1951,77,15,15,47,0,15.00,5.00,4.70,0.00,6,8,1,0,0,0,1,3,0,3,6,2,0,0,47,0,0,
28-01-2021,FEI,VESSEL,INVERTER,47,2342,174,33,36,105,0,33.00,12.00,10.50,0.00,22,11,0,0,0,0,12,2,0,3,7,12,0,0,105,0,0,
29-01-2021,FAP,COURIER,INVERTER,1,100,1,1,0,0,0,1.00,0.00,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01-02-2021,FAP,VESSEL,INVERTER,14,952,71,18,10,43,0,18.00,3.33,4.30,0.00,9,9,0,0,0,0,3,1,0,0,2,4,0,0,43,0,0,
01-02-2021,FAP,AIRCRAFT,INVERTER,1,100,1,1,0,0,0,1.00,0.00,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01-02-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,4,649,11,0,11,0,0,0.00,3.67,0.00,0.00,0,0,0,0,0,0,5,3,0,0,0,0,2,1,0,0,0,
02-02-2021,FEA NJ,VESSEL,INVERTER,7,674,17,11,3,3,0,11.00,1.00,0.30,0.00,0,0,0,3,4,4,2,0,0,0,0,1,0,0,3,0,0,
02-02-2021,FEA FRE,VESSEL,INVERTER,1,1,1,0,0,1,0,0.00,0.00,0.10,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
02-02-2021,FEA TWMC,VESSEL,INVERTER,1,6,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
02-02-2021,FEE,VESSEL,INVERTER,7,3177,87,0,3,39,45,0.00,1.00,3.90,22.50,0,0,0,0,0,0,2,0,0,0,1,0,0,0,39,0,45,
03-02-2021,FEI,AIRCRAFT,INVERTER,8,2391,21,16,4,1,0,16.00,1.33,0.10,0.00,14,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,
03-02-2021,FEI,VESSEL,INVERTER,7,257,15,2,3,10,0,2.00,1.00,1.00,0.00,0,2,0,0,0,0,0,1,0,0,1,1,0,0,10,0,0,
05-02-2021,FEC,VESSEL,TEMPERATURE CONTROL,2,7145,14,12,2,0,0,12.00,0.67,0.00,0.00,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
08-02-2021,FAP,VESSEL,INVERTER,19,380,46,6,19,21,0,6.00,6.33,2.10,0.00,2,4,0,0,0,0,4,2,0,3,2,8,0,0,21,0,0,
09-02-2021,FEID,VESSEL,INVERTER,15,212,20,3,13,4,0,3.00,4.33,0.40,0.00,1,2,0,0,0,0,8,1,0,2,1,1,0,0,4,0,0,
09-02-2021,FEA NJ,VESSEL,INVERTER,5,1284,53,25,3,25,0,25.00,1.00,2.50,0.00,0,0,0,17,8,0,0,2,0,0,0,1,0,0,25,0,0,
