PO,Case No,Type,SKU,Item Name,QTY,Dimensions,Note
11074920,6,Warp Pallet,FRN0610G2S-4G,"Inverter-FRN0610G2S-4G",1,76x110x50,Warp Item (has built-in pallet)
11074920,7,Warp Pallet,FRN0361E2S-4GB,"Inverter-FRN0361E2S-4GB",1,65x110x50,Warp Item (has built-in pallet)
11074920,8,Warp Pallet,FRN0361E2S-4GB,"Inverter-FRN0361E2S-4GB",1,65x110x50,Warp Item (has built-in pallet)
11074920,9,Warp Pallet,FRN0361E2S-4GB,"Inverter-FRN0361E2S-4GB",1,65x110x50,Warp Item (has built-in pallet)
11074920,10,Warp Pallet,FRN0361E2S-4GB,"Inverter-FRN0361E2S-4GB",1,65x110x50,Warp Item (has built-in pallet)
11074920,11,Warp Pallet,FRN0361E2S-4GB,"Inverter-FRN0361E2S-4GB",1,65x110x50,Warp Item (has built-in pallet)
11074920,12,Warp Pallet,FRN0361E2S-4GB,"Inverter-FRN0361E2S-4GB",1,65x110x50,Warp Item (has built-in pallet)
11074920,13,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,14,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,15,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,16,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,17,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,18,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,19,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,20,Warp Pallet,FRN0240E2S-4GB,"Inverter-FRN0240E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,21,Warp Pallet,FRN0290E2S-4GB,"Inverter-FRN0290E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
11074920,22,Warp Pallet,FRN0290E2S-4GB,"Inverter-FRN0290E2S-4GB",1,65x85x46,Warp Item (has built-in pallet)
